Between Hemispheres species comparison results: ,
,
nudiventris_brevirostrum_results.txt ,96.834
baerii_brevirostrum_results.txt ,98.732
sinensis_transmontanus_results.txt ,94.014
ruthenus_oxyrinchus_results.txt ,92.74
dabryanus_brevirostrum_results.txt ,93.933
nudiventris_oxyrinchus_results.txt ,91.628
stellatus_oxyrinchus_results.txt ,92.15
ruthenus_medirostris_results.txt ,94.197
sturio_oxyrinchus_results.txt ,95.965
ruthenus_brevirostrum_results.txt ,96.38
schrenckii_X_dauricus_medirostris_results.txt ,92.8
nudiventris_medirostris_results.txt ,94.482
gueldenstaedtii_X_baerii_transmontanus_results.txt ,94.903
ruthenus_transmontanus_results.txt ,94.707
dabryanus_X_schrenckii_medirostris_results.txt ,95.277
dabryanus_transmontanus_results.txt ,96.603
gueldenstaedtii_X_baerii_oxyrinchus_results.txt ,92.098
gueldenstaedtii_X_baerii_brevirostrum_results.txt ,98.698
schrenckii_X_dauricus_brevirostrum_results.txt ,91.192
baerii_transmontanus_results.txt ,94.179
gueldenstaedtii_X_baerii_medirostris_results.txt ,93.845
stellatus_brevirostrum_results.txt ,95.174
sturio_transmontanus_results.txt ,93.408
schrenckii_X_dauricus_oxyrinchus_results.txt ,90.397
dabryanus_X_schrenckii_oxyrinchus_results.txt ,92.643
schrenckii_medirostris_results.txt ,96.257
schrenckii_oxyrinchus_results.txt ,93.053
schrenckii_X_dauricus_transmontanus_results.txt ,95.228
gueldenstaedtii_transmontanus_results.txt ,94.89
dabryanus_X_schrenckii_brevirostrum_results.txt ,93.971
dabryanus_oxyrinchus_results.txt ,92.593
mikadoi_oxyrinchus_results.txt ,92.02
sinensis_oxyrinchus_results.txt ,92.682
baerii_oxyrinchus_results.txt ,92.941
stellatus_transmontanus_results.txt ,94.19
dabryanus_medirostris_results.txt ,95.207
nudiventris_transmontanus_results.txt ,94.852
sturio_medirostris_results.txt ,92.249
mikadoi_brevirostrum_results.txt ,93.761
stellatus_medirostris_results.txt ,94.002
sinensis_medirostris_results.txt ,93.536
gueldenstaedtii_oxyrinchus_results.txt ,92.074
dabryanus_X_schrenckii_transmontanus_results.txt ,96.71
schrenckii_brevirostrum_results.txt ,94.018
mikadoi_medirostris_results.txt ,99.579
sinensis_brevirostrum_results.txt ,98.143
mikadoi_transmontanus_results.txt ,96.289
sturio_brevirostrum_results.txt ,92.814
schrenckii_transmontanus_results.txt ,98.837
baerii_medirostris_results.txt ,94.295
gueldenstaedtii_medirostris_results.txt ,93.821
,
Average,94.412
